"UID","left","right","TestR","Sex","Age","UTM_X","UTM_Y","NR_Bears"
"102","1982-03-15","1984-06-17","N","F",2,494000,4957000,1
"103","1974-03-15","1984-06-07","P","M",10,548000,4964000,1
"112","1973-03-15","1999-07-19","P","M",26,556000,4971000,1
"124","1980-03-15","1994-05-18","N","F",14,587000,4925000,0
"125","1983-03-15","1993-07-29","P","F",10,548000,4962000,1
"132","1985-03-15","2002-09-18","P","F",17,567000,4964000,1
"136","1983-03-15","1994-05-17","N","F",11,589000,4921000,0
"141","1986-03-15","1991-05-17","N","M",20,488000,4959000,1
"141","1991-05-17","2006-08-12","N","M",20,488000,4959000,1
"155","1986-03-15","2004-10-11","P","M",18,547000,4969000,1
"179","1989-03-15","2001-05-26","P","F",12,541000,4848000,0
"191","1977-03-15","1991-07-13","P","M",14,482000,4989000,1
"193","1986-03-15","1991-09-29","P","F",5,512000,4941000,1
"196","1985-03-15","2000-07-17","P","F",15,538000,4951000,1
"201","1990-03-15","2009-06-10","N","M",19,556000,4903000,0
"201031","1994-03-15","2010-09-20","N","F",16,513000,5019000,1
"201041","2004-03-15","2010-10-11","P","M",6,521000,4988000,1
"201108","2003-03-15","2011-07-18","P","F",8,483000,4948000,1
"201110","2006-03-15","2011-08-01","N","M",5,546000,4933000,0
"201130","2003-03-15","2011-09-28","N","F",8,541000,4949000,1
"201131","2011-03-15","2011-09-29","N","M",0.5,541000,4949000,1
"201132","2011-03-15","2011-09-29","N","M",0.5,541000,4949000,1
"201137","2003-03-15","2011-10-21","P","M",8,556000,4856000,0
"201142","2001-03-15","2011-11-11","P","M",10,639000,4921000,0
"201229","2007-03-15","2012-09-17","P","M",5,548000,4722000,0
"201232","2010-03-15","2012-09-18","N","M",2,676000,4903000,0
"201301","2003-03-15","2013-03-23","N","M",10,636000,4977000,1
"201307","2008-03-15","2013-05-27","N","F",5,614000,4851000,0
"201314","2008-03-15","2013-07-23","N","M",5,674000,4834000,0
"204","1990-03-15","2007-10-13","P","M",17,555000,4913000,0
"205","1984-03-15","2006-09-12","P","F",22,538000,4940000,1
"206","1974-03-15","1997-10-15","P","M",23,515000,4941000,1
"211","1990-03-15","1997-10-17","N","M",7,538000,4951000,1
"211","1997-10-17","2008-10-21","N","M",18,547000,4969000,1
"211","2008-10-21","2011-09-15","N","M",21,538000,4951000,1
"211","2011-09-15","2013-09-19","N","M",23,556000,4971000,1
"213","1992-03-15","1998-07-12","N","F",6,477000,4986000,1
"213","1998-07-12","2002-06-01","N","F",10,477000,4986000,1
"214","1992-03-15","1997-10-23","N","F",5,518000,4986000,1
"214","1997-10-23","2002-10-17","N","F",10,518000,4986000,1
"219","1990-03-15","1997-10-23","N","M",7,537000,4969000,1
"219","1997-10-23","1999-06-30","P","M",9,538000,4951000,1
"220","1983-03-15","1994-05-12","N","M",11,587000,4925000,0
"227","1992-03-15","1994-07-23","N","M",2,482000,4918000,0
