"","UID","sex","left","right","TestR"
"1","102","F",1982-04-15,1984-06-17,"N"
"2","103","M",1974-04-15,1984-06-07,"P"
"3","112","M",1973-04-15,1999-07-19,"P"
"4","124","F",1980-04-15,1994-05-18,"N"
"8","132","F",1985-04-15,2002-09-18,"P"
"9","136","F",1983-04-15,1994-05-17,"N"
"10","141","M",1986-04-15,2006-08-12,"N"
"15","191","M",1977-04-15,1991-07-13,"P"
"23","201","M",1990-04-15,2009-06-10,"N"
"24","201031","F",1994-04-15,2010-09-20,"N"
"25","201041","M",2004-04-15,2010-10-11,"P"
"26","201108","F",2003-04-15,2011-07-18,"P"
"27","201110","M",2006-04-15,2011-08-01,"N"
"28","201130","F",2003-04-15,2011-09-29,"N"
"29","201131","M",2011-04-15,2011-09-29,"N"
"30","201132","M",2011-04-15,2011-09-29,"N"
"31","201137","M",2003-04-15,2011-10-21,"P"
"32","201142","M",2001-04-15,2011-11-11,"P"
"33","201229","M",2007-04-15,2012-09-17,"P"
"34","201232","M",2010-04-15,2012-09-18,"N"
"35","201301","M",2003-04-15,2013-03-23,"N"
"36","201307","F",2008-04-15,2013-05-27,"N"
"37","201314","M",2008-04-15,2013-07-23,"N"
"41","205","F",1984-04-15,2006-09-12,"P"
"42","206","M",1974-04-15,1997-10-15,"P"
"54","220","M",1983-04-15,1994-05-12,"N"
"58","228","M",1990-04-15,2014-08-28,"P"
"59","239","M",1989-04-15,2006-08-02,"N"
"60","243","M",1991-04-15,2004-06-02,"N"
"61","259","M",1993-04-15,1995-09-23,"N"
"64","263","M",1988-04-15,1995-09-29,"P"
"65","265","F",1988-04-15,2008-10-22,"P"
"66","273","M",1988-04-15,2004-08-19,"N"
"71","286","M",1993-04-15,1998-08-23,"N"
"76","290","M",1994-04-15,1999-07-30,"N"
"77","292","M",1991-04-15,2000-05-03,"P"
"78","293","M",1994-04-15,1997-08-08,"N"
"82","301","M",1995-04-15,1997-10-28,"N"
"83","302","M",1988-04-15,2008-08-23,"N"
"84","304","M",1995-04-15,2012-08-03,"N"
"85","309","M",1989-04-15,1998-06-12,"N"
"86","314","M",1993-04-15,1998-07-14,"P"
"87","317","M",1990-04-15,1999-08-03,"P"
"93","322","F",1996-04-15,1998-09-24,"N"
"94","323","M",1996-04-15,2010-10-13,"N"
"98","329","M",1993-04-15,1999-05-06,"N"
"99","330","M",1993-04-15,1999-05-12,"N"
"100","332","F",1992-04-15,2010-09-23,"N"
"101","333","M",1995-04-15,2009-08-20,"N"
"109","342","F",1991-04-15,1999-07-21,"P"
"112","345","M",1993-04-15,2004-10-12,"P"
"113","346","F",1995-04-15,1999-08-28,"N"
"116","355","M",1998-04-15,2002-08-11,"N"
"123","365","F",1981-04-15,2004-08-28,"P"
"124","369","M",1994-04-15,2014-05-07,"N"
"135","38","F",1971-04-15,1984-06-10,"N"
"136","387","M",1993-04-15,2001-06-26,"N"
"137","388","M",1990-04-15,2001-06-28,"P"
"141","393","M",1995-04-15,2001-07-24,"P"
"142","394","M",1996-04-15,2011-09-04,"P"
"143","397","M",1995-04-15,2001-08-23,"N"
"151","40","M",1975-04-15,1984-06-03,"N"
"160","407","M",1998-04-15,2013-05-30,"N"
"161","410","M",1994-04-15,2002-06-19,"N"
"162","412","F",1993-04-15,2002-07-13,"P"
"163","413","M",1998-04-15,2002-07-17,"N"
"164","414","M",2000-04-15,2002-07-17,"N"
"169","423","F",1996-04-15,2011-09-01,"N"
"170","424","M",1998-04-15,2002-09-25,"N"
"171","425","F",1985-04-15,2002-10-08,"P"
"172","426","M",1999-04-15,2002-10-28,"N"
"173","427","M",1997-04-15,2003-06-16,"N"
"174","429","M",1997-04-15,2003-06-27,"N"
"179","443","M",1993-04-15,2008-10-03,"P"
"180","444","M",1995-04-15,2003-08-12,"N"
"181","447","F",1988-04-15,2003-09-19,"P"
"190","449","M",1997-04-15,2003-09-21,"N"
"191","45","M",1979-04-15,1984-06-06,"N"
"192","453","M",1999-04-15,2004-05-24,"N"
"193","454","M",1984-04-15,2004-06-02,"N"
"198","463","M",1995-04-15,2004-08-27,"N"
"199","465","M",1998-04-15,2011-10-19,"N"
"200","466","M",1995-04-15,2004-09-07,"N"
"201","468","M",2002-04-15,2004-09-11,"N"
"202","469","M",1993-04-15,2004-09-11,"N"
"203","470","M",1984-04-15,2004-09-12,"P"
"204","471","M",1999-04-15,2003-06-01,"N"
"208","475","M",2001-04-15,2005-10-10,"N"
"209","477","M",1997-04-15,2004-09-29,"N"
"210","478","F",1992-04-15,2010-09-24,"N"
"215","481","F",2002-04-15,2009-07-23,"N"
"216","483","M",1993-04-15,2005-05-05,"P"
"217","484","M",1997-04-15,2005-05-07,"N"
"218","485","F",1997-04-15,2005-05-23,"N"
"219","487","M",1999-04-15,2008-07-27,"N"
"220","488","M",1998-04-15,2005-05-26,"N"
"221","490","M",1997-04-15,2005-06-23,"P"
"222","491","F",2004-04-15,2005-06-27,"N"
"227","494","M",2002-04-15,2005-07-06,"N"
"228","495","F",2003-04-15,2008-07-22,"N"
"229","497","F",2002-04-15,2008-08-04,"P"
"230","498","M",2001-04-15,2010-08-05,"P"
"231","499","F",1997-04-15,2012-07-29,"N"
"232","50","F",1974-04-15,1984-09-17,"N"
"233","501","F",1995-04-15,2005-08-13,"N"
"236","504","M",2001-04-15,2008-07-28,"P"
"237","506","M",2000-04-15,2014-08-02,"P"
"242","513","M",2000-04-15,2010-09-29,"N"
"243","514","M",2000-04-15,2005-09-28,"N"
"247","516","M",1995-04-15,2005-10-06,"N"
"248","517","F",1998-04-15,2010-09-28,"N"
"249","519","M",1999-04-15,2012-05-12,"N"
"250","520","M",1999-04-15,2006-05-11,"P"
"251","521","M",1996-04-15,2006-05-20,"N"
"252","522","F",1989-04-15,2006-06-02,"P"
"257","527","M",1998-04-15,2006-06-22,"N"
"262","534","M",2005-04-15,2006-07-30,"N"
"263","535","M",2003-04-15,2006-08-03,"N"
"264","538","M",2002-04-15,2012-05-13,"N"
"270","543","M",1993-04-15,2006-10-05,"N"
"271","544","M",2003-04-15,2006-10-06,"N"
"272","546","M",2001-04-15,2011-09-09,"N"
"273","547","M",2003-04-15,2009-08-20,"N"
"274","548","M",1997-04-15,2007-05-02,"N"
"275","549","M",2001-04-15,2013-05-06,"P"
"278","552","M",1999-04-15,2011-11-11,"N"
"279","553","M",1999-04-15,2009-05-30,"N"
"280","554","F",2005-04-15,2009-05-30,"N"
"281","555","F",2000-04-15,2007-06-03,"N"
"282","556","M",2003-04-15,2012-10-13,"N"
"283","557","M",1989-04-15,2007-06-15,"N"
"284","559","F",1997-04-15,2007-07-03,"N"
"287","565","M",2004-04-15,2008-08-09,"N"
"291","567","M",1994-04-15,2008-10-04,"P"
"292","568","M",1992-04-15,2009-06-29,"P"
"295","570","M",1994-04-15,2009-06-29,"N"
"296","571","M",1996-04-15,2007-09-11,"N"
"297","573","M",1997-04-15,2007-09-26,"N"
"298","574","M",2003-04-15,2012-10-15,"N"
"299","576","F",1999-04-15,2007-10-18,"P"
"300","577","F",1991-04-15,2007-10-23,"P"
"303","579","M",2005-04-15,2008-04-21,"N"
"304","581","M",2005-04-15,2008-05-17,"N"
"305","582","M",2004-04-15,2008-06-08,"N"
"306","585","M",1978-04-15,2008-06-14,"P"
"309","587","M",2006-04-15,2010-07-03,"N"
"310","588","M",2005-04-15,2008-07-10,"P"
"314","59","F",1978-04-15,1984-06-16,"P"
"315","590","F",2005-04-15,2008-08-13,"N"
"316","591","F",2006-04-15,2008-08-21,"N"
"317","592","M",2000-04-15,2014-09-11,"P"
"318","593","M",2005-04-15,2011-08-06,"N"
"319","594","M",2006-04-15,2010-08-08,"N"
"320","595","M",2005-04-15,2008-08-24,"N"
"323","600","M",2007-04-15,2012-07-21,"N"
"324","601","F",2007-04-15,2008-10-22,"N"
"325","602","F",2007-04-15,2008-10-22,"N"
"328","604","M",2002-04-15,2009-05-17,"N"
"329","605","F",2005-04-15,2009-05-15,"P"
"330","606","M",2002-04-15,2009-05-19,"N"
"331","607","M",1999-04-15,2009-05-20,"N"
"332","608","M",1996-04-15,2009-06-09,"N"
"333","609","M",2004-04-15,2009-06-13,"P"
"334","610","F",2006-04-15,2014-08-06,"N"
"335","611","M",2000-04-15,2011-08-20,"N"
"336","616","F",1993-04-15,2009-07-29,"P"
"339","619","M",2006-04-15,2009-08-20,"P"
"340","621","M",1992-04-15,2009-08-26,"N"
"341","622","M",2006-04-15,2009-09-11,"N"
"344","624","M",1999-04-15,2009-09-14,"N"
"345","626","F",2003-04-15,2009-09-19,"N"
"346","627","F",2002-04-15,2009-09-23,"N"
"349","629","M",1978-04-15,2009-10-12,"P"
"350","631","F",2004-04-15,2009-10-14,"N"
"351","632","M",2005-04-15,2009-10-30,"N"
"352","633","M",2003-04-15,2009-11-03,"N"
"353","634","M",1990-04-15,2010-04-24,"N"
"354","635","M",2000-04-15,2010-04-24,"N"
"355","636","M",2006-04-15,2011-08-28,"P"
"356","638","M",1999-04-15,2010-05-08,"N"
"357","639","M",1994-04-15,2010-05-11,"P"
"358","640","M",1995-04-15,2010-05-14,"P"
"359","641","M",1995-04-15,2010-05-16,"N"
"363","643","M",1997-04-15,2010-05-18,"N"
"366","645","F",1997-04-15,2010-06-15,"N"
"367","646","M",1997-04-15,2010-06-17,"P"
"368","648","M",2000-04-15,2012-07-12,"N"
"369","649","M",2003-04-15,2010-07-24,"N"
"372","651","M",1999-04-15,2010-08-15,"N"
"375","654","F",1994-04-15,2010-08-23,"P"
"378","656","M",2007-04-15,2010-08-27,"N"
"379","657","M",2007-04-15,2010-09-10,"N"
"382","659","M",1998-04-15,2011-06-24,"P"
"383","660","F",2004-04-15,2010-09-17,"N"
"384","661","F",2001-04-15,2010-09-20,"N"
"385","662","F",1999-04-15,2010-10-01,"P"
"386","663","F",2004-04-15,2010-10-02,"N"
"387","664","M",1999-04-15,2010-10-03,"N"
"388","665","F",2002-04-15,2010-10-05,"N"
"389","666","F",2002-04-15,2010-10-16,"N"
"390","669","M",2007-04-15,2009-10-02,"N"
"397","672","F",2008-04-15,2011-05-14,"N"
"398","673","M",1999-04-15,2011-06-10,"N"
"401","675","M",1996-04-15,2011-06-27,"N"
"404","677","M",2005-04-15,2011-07-07,"N"
"405","678","F",2005-04-15,2011-07-09,"P"
"408","681","M",2006-04-15,2011-07-26,"P"
"411","683","M",2005-04-15,2011-08-04,"P"
"412","684","M",1993-04-15,2011-08-11,"N"
"413","685","M",2006-04-15,2011-08-15,"N"
"414","686","F",2005-04-15,2011-08-18,"P"
"415","687","M",2000-04-15,2011-08-18,"N"
"416","688","M",2010-04-15,2011-09-21,"N"
"417","689","M",2010-04-15,2011-09-22,"N"
"418","690","F",2009-04-15,2011-09-23,"N"
"421","692","F",2008-04-15,2011-10-04,"N"
"422","693","F",2004-04-15,2011-10-04,"P"
"423","694","F",2008-04-15,2011-10-07,"N"
"424","695","M",2007-04-15,2011-10-28,"N"
"427","697","M",2003-04-15,2012-03-21,"N"
"428","698","M",1992-04-15,2012-04-08,"P"
"429","699","M",2000-04-15,2012-04-15,"N"
"430","700","M",2003-04-15,2012-05-03,"N"
"433","702","F",2010-04-15,2012-05-08,"N"
"436","704","M",2008-04-15,2012-05-17,"N"
"437","705","M",2008-04-15,2012-05-19,"N"
"438","706","F",2003-04-15,2012-06-25,"N"
"439","707","F",2007-04-15,2012-05-30,"N"
"440","708","F",2006-04-15,2012-06-06,"N"
"441","710","M",2009-04-15,2012-06-16,"N"
"444","712","M",2006-04-15,2012-06-25,"N"
"447","714","F",2002-04-15,2013-07-08,"N"
"448","715","M",1997-04-15,2012-07-06,"N"
"449","716","F",2005-04-15,2012-07-08,"N"
"452","718","F",2005-04-15,2012-07-12,"N"
"453","719","M",2007-04-15,2012-07-17,"N"
"454","720","F",2004-04-15,2012-07-20,"P"
"455","721","F",2006-04-15,2012-07-22,"N"
"456","724","F",2005-04-15,2012-08-14,"N"
"457","725","F",2005-04-15,2012-08-15,"N"
"458","726","M",2007-04-15,2012-08-16,"P"
"459","727","M",1999-04-15,2012-08-18,"P"
"460","728","F",2009-04-15,2012-08-23,"N"
"463","730","M",2007-04-15,2012-08-24,"P"
"466","732","F",2004-04-15,2012-09-10,"N"
"467","733","M",2008-04-15,2012-09-17,"P"
"468","734","F",2003-04-15,2012-09-21,"N"
"469","735","F",2012-04-15,2012-09-17,"P"
"470","736","M",2004-04-15,2012-10-01,"P"
"471","737","M",2009-04-15,2012-10-10,"N"
"472","738","M",2001-04-15,2012-10-19,"N"
"473","739","F",2010-04-15,2012-10-28,"N"
