"","UID","trap.date","sex","titer","birth.year","age","spp"
"1","024F",1996-08-06,"F",6,1995,1,"wolf"
"2","052M",1998-01-06,"M",512,1996,2,"wolf"
"3","055M",2000-01-18,"M",512,1996,4,"wolf"
"4","056M",1998-01-05,"M",6,1996,2,"wolf"
"5","077F",1998-01-06,"F",6,1997,1,"wolf"
"6","078F",1998-01-06,"F",6,1997,1,"wolf"
"7","082M",1998-01-06,"M",6,1997,1,"wolf"
"8","083M",1998-01-06,"M",6,1997,1,"wolf"
"9","095F",1998-01-05,"F",6,1997,1,"wolf"
"10","096F",1998-01-05,"F",6,1997,1,"wolf"
"11","103F",1997-10-17,"F",6,1997,0,"wolf"
"12","104M",1998-01-06,"M",6,1997,1,"wolf"
"13","105F",1999-01-17,"F",6,1997,2,"wolf"
"14","106F",1998-01-06,"F",6,1997,1,"wolf"
"15","108M",1997-09-03,"M",12,1997,0,"wolf"
"16","113M",1999-02-10,"M",6,1997,2,"wolf"
"17","113M",2006-01-19,"M",192,1997,9,"wolf"
"18","115F",1999-02-01,"F",6,1998,1,"wolf"
"19","118M",1998-03-12,"M",6,1997,1,"wolf"
"20","120M",1998-03-12,"M",6,1997,1,"wolf"
"21","122M",1999-01-12,"M",6,1997,2,"wolf"
"22","123M",1999-02-08,"M",6,1997,2,"wolf"
"23","123M",1998-01-08,"M",6,1997,1,"wolf"
"24","124M",1999-02-08,"M",6,1997,2,"wolf"
"25","126F",1999-02-08,"F",6,1997,2,"wolf"
"26","128M",1998-01-09,"M",6,1997,1,"wolf"
"27","129F",1998-01-09,"F",6,1997,1,"wolf"
"28","136F",1998-03-12,"F",6,1997,1,"wolf"
"29","147M",1999-02-01,"M",6,1997,2,"wolf"
"30","148F",1999-01-13,"F",6,1998,1,"wolf"
"31","150M",1999-02-01,"M",6,1998,1,"wolf"
"32","151F",1999-01-13,"F",6,1998,1,"wolf"
"33","152F",1999-01-13,"F",6,1998,1,"wolf"
"34","153F",1999-01-17,"F",6,1998,1,"wolf"
"35","154F",1999-01-30,"F",6,1998,1,"wolf"
"36","155F",1999-01-30,"F",6,1998,1,"wolf"
"37","161M",1999-01-30,"M",6,1998,1,"wolf"
"38","162M",2000-01-18,"M",128,1998,2,"wolf"
"39","163M",1999-01-17,"M",6,1998,1,"wolf"
"40","164M",1999-01-13,"M",6,1998,1,"wolf"
"41","165M",1999-01-13,"M",6,1997,2,"wolf"
"42","187F",2000-01-13,"F",6,1999,1,"wolf"
"43","188F",2000-01-19,"F",256,1998,2,"wolf"
"44","189M",2000-01-19,"M",192,1999,1,"wolf"
"45","190F",2000-01-19,"F",96,1999,1,"wolf"
"46","191M",2000-01-20,"M",6,1999,1,"wolf"
"47","192M",2000-02-04,"M",384,1997,3,"wolf"
"48","193M",2000-02-04,"M",768,1997,3,"wolf"
"49","193M",2006-02-07,"M",192,1997,9,"wolf"
"50","194M",2000-02-04,"M",768,1997,3,"wolf"
"51","195M",2000-05-25,"M",768,1998,2,"wolf"
"52","196M",2000-05-25,"M",512,1998,2,"wolf"
"53","201F",2001-01-15,"F",512,1999,2,"wolf"
"54","202M",2001-01-15,"M",6,2000,1,"wolf"
"55","203M",2001-01-15,"M",8,2000,1,"wolf"
"56","204M",2001-01-16,"M",384,1997,4,"wolf"
"57","205M",2001-01-16,"M",128,2000,1,"wolf"
"58","206M",2003-01-08,"M",96,1998,5,"wolf"
"59","206M",2001-01-16,"M",192,1998,3,"wolf"
"60","207M",2001-01-16,"M",192,1999,2,"wolf"
"61","208M",2001-01-16,"M",512,1997,4,"wolf"
"62","209F",2007-01-30,"F",256,2000,7,"wolf"
"63","209F",2001-01-17,"F",64,2000,1,"wolf"
"64","210M",2001-01-17,"M",6,2000,1,"wolf"
"65","211M",2001-01-17,"M",8,2000,1,"wolf"
"66","212F",2001-01-17,"F",12,1999,2,"wolf"
"67","213F",2001-01-19,"F",6,2000,1,"wolf"
"68","214M",2001-01-19,"M",6,2000,1,"wolf"
"69","215M",2001-01-19,"M",6,2000,1,"wolf"
"70","216F",2001-01-19,"F",6,2000,1,"wolf"
"71","217F",2001-01-19,"F",12,2000,1,"wolf"
"72","217F",2003-01-08,"F",6,2000,3,"wolf"
"73","218F",2001-01-19,"F",6,2000,1,"wolf"
"74","219M",2001-01-19,"M",6,2000,1,"wolf"
"75","220F",2001-01-20,"F",6,2000,1,"wolf"
"76","221M",2001-01-20,"M",6,1999,2,"wolf"
"77","222M",2001-01-20,"M",12,2000,1,"wolf"
"78","224M",2001-01-20,"M",12,2000,1,"wolf"
"79","225M",2001-01-21,"M",6,2000,1,"wolf"
"80","226M",2001-01-21,"M",6,2000,1,"wolf"
"81","227M",2001-01-21,"M",6,2000,1,"wolf"
"82","241M",2001-10-13,"M",6,2001,0,"wolf"
"83","243M",2001-12-10,"M",8,1998,3,"wolf"
"84","244M",2001-12-10,"M",16,1999,2,"wolf"
"85","245M",2001-12-10,"M",16,2001,0,"wolf"
"86","246M",2001-12-10,"M",12,2001,0,"wolf"
"87","247M",2001-12-10,"M",12,2001,0,"wolf"
"88","248M",2002-02-02,"M",6,2001,1,"wolf"
"89","249M",2002-02-03,"M",6,2000,2,"wolf"
"90","251F",2002-02-02,"F",6,2000,2,"wolf"
"91","252M",2002-02-02,"M",6,2000,2,"wolf"
"92","253M",2002-02-02,"M",6,2000,2,"wolf"
"93","254M",2002-02-02,"M",6,2000,2,"wolf"
"94","255F",2002-02-02,"F",6,2001,1,"wolf"
"95","256M",2002-02-03,"M",256,1999,3,"wolf"
"96","257M",2002-02-03,"M",12,1999,3,"wolf"
"97","258M",2002-02-03,"M",12,2000,2,"wolf"
"98","259F",2002-02-03,"F",384,2000,2,"wolf"
"99","260F",2002-02-05,"F",12,2001,1,"wolf"
"100","261M",2002-02-05,"M",12,2001,1,"wolf"
"101","262M",2002-02-05,"M",12,2001,1,"wolf"
"103","286F",2003-01-07,"F",12,2001,2,"wolf"
"104","287M",2003-01-07,"M",12,2001,2,"wolf"
"105","287M",2006-01-25,"M",256,2001,5,"wolf"
"106","288F",2003-01-07,"F",6,2001,2,"wolf"
"107","289M",2003-01-07,"M",12,2001,2,"wolf"
"108","290F",2003-01-07,"F",12,2002,1,"wolf"
"109","291M",2003-01-08,"M",16,2002,1,"wolf"
"110","292M",2003-01-08,"M",12,2001,2,"wolf"
"111","293F",2003-01-08,"F",12,2002,1,"wolf"
"112","294M",2003-01-09,"M",192,1999,4,"wolf"
"113","295M",2003-01-09,"M",12,2002,1,"wolf"
"114","296M",2003-01-09,"M",12,2000,3,"wolf"
"115","300M",2003-02-12,"M",8,1999,4,"wolf"
"116","301M",2003-02-12,"M",16,2001,2,"wolf"
"117","302M",2003-02-12,"M",12,2000,3,"wolf"
"118","303M",2003-02-12,"M",192,1997,6,"wolf"
"119","303M",2006-01-26,"M",192,1997,9,"wolf"
"120","303M",2006-01-26,"M",128,1997,9,"wolf"
"121","304M",2003-02-12,"M",192,1999,4,"wolf"
"122","305M",2003-02-13,"M",12,2002,1,"wolf"
"123","306F",2003-02-13,"F",12,2002,1,"wolf"
"124","343M",2003-11-13,"M",12,2003,0,"wolf"
"125","344F",2003-11-13,"F",12,2002,1,"wolf"
"126","348M",2003-11-22,"M",8,2003,0,"wolf"
"127","349M",2003-11-22,"M",8,2003,0,"wolf"
"128","350M",2003-11-22,"M",12,2003,0,"wolf"
"129","351M",2003-11-23,"M",12,2002,1,"wolf"
"130","352M",2003-11-23,"M",12,2001,2,"wolf"
"131","353F",2003-11-23,"F",6,2001,2,"wolf"
"132","353F",2006-01-25,"F",192,2001,5,"wolf"
"133","353F",2006-01-25,"F",128,2001,5,"wolf"
"134","354M",2003-11-23,"M",12,2001,2,"wolf"
"135","355F",2003-11-23,"F",12,2002,1,"wolf"
"136","356M",2003-11-23,"M",16,2002,1,"wolf"
"137","373M",2004-01-14,"M",12,2003,1,"wolf"
"138","374M",2004-01-14,"M",24,2003,1,"wolf"
"139","375F",2004-01-14,"F",12,2003,1,"wolf"
"140","379M",2004-01-14,"M",24,2000,4,"wolf"
"141","380F",2004-01-14,"F",12,2003,1,"wolf"
"142","380F",2006-01-19,"F",512,2003,3,"wolf"
"143","381M",2004-01-14,"M",12,2002,2,"wolf"
"144","382F",2004-01-14,"F",16,2003,1,"wolf"
"145","383M",2004-01-15,"M",12,2003,1,"wolf"
"146","389M",2004-02-12,"M",12,2002,2,"wolf"
"147","391F",2004-02-13,"F",12,2001,3,"wolf"
"148","392M",2004-02-13,"M",12,2002,2,"wolf"
"149","453M",2004-10-02,"M",12,2003,1,"wolf"
"150","468M",2005-01-17,"M",24,2003,2,"wolf"
"151","469F",2005-01-17,"F",12,2003,2,"wolf"
"152","469F",2009-01-18,"F",192,2003,6,"wolf"
"153","470F",2009-01-15,"F",128,2004,5,"wolf"
"154","471F",2005-01-17,"F",6,2003,2,"wolf"
"155","471F",2012-02-21,"F",128,2003,9,"wolf"
"156","472F",2005-01-17,"F",12,2001,4,"wolf"
"157","472F",2009-02-21,"F",192,2001,8,"wolf"
"158","473M",2005-01-17,"M",12,2004,1,"wolf"
"159","474M",2005-01-21,"M",12,2004,1,"wolf"
"160","475F",2005-01-21,"F",12,2004,1,"wolf"
"161","478F",2005-01-21,"F",12,2003,2,"wolf"
"162","478F",2010-02-20,"F",96,2003,7,"wolf"
"163","478F",2014-03-08,"F",24,2003,11,"wolf"
"164","479M",2005-01-21,"M",12,2002,3,"wolf"
"165","481M",2005-01-23,"M",12,2004,1,"wolf"
"166","483F",2005-01-25,"F",6,2003,2,"wolf"
"167","484M",2005-01-25,"M",12,2004,1,"wolf"
"168","485F",2005-01-25,"F",12,2004,1,"wolf"
"169","486F",2005-01-25,"F",6,2004,1,"wolf"
"170","488M",2005-01-27,"M",16,2004,1,"wolf"
"171","489M",2005-01-27,"M",6,2001,4,"wolf"
"172","490M",2005-01-27,"M",12,2001,4,"wolf"
"173","491M",2005-01-27,"M",12,2004,1,"wolf"
"174","495M",2005-02-22,"M",12,2004,1,"wolf"
"175","495M",2009-01-15,"M",384,2004,5,"wolf"
"176","496F",2005-02-22,"F",6,2004,1,"wolf"
"177","497M",2005-02-22,"M",12,2004,1,"wolf"
"178","523F",2005-10-15,"F",192,2005,0,"wolf"
"179","524F",2006-01-19,"F",192,2005,1,"wolf"
"180","525F",2006-01-19,"F",192,2004,2,"wolf"
"181","526F",2006-01-19,"F",512,2004,2,"wolf"
"182","527F",2006-01-19,"F",64,2002,4,"wolf"
"183","527F",2006-12-31,"F",64,2002,4,"wolf"
"184","528M",2006-01-25,"M",256,2003,3,"wolf"
"185","529F",2006-01-19,"F",192,2004,2,"wolf"
"186","534M",2006-01-25,"M",192,2000,6,"wolf"
"187","535M",2006-01-25,"M",48,2003,3,"wolf"
"188","536F",2006-01-25,"F",512,2003,3,"wolf"
"189","537F",2006-01-25,"F",6,2002,4,"wolf"
"190","537F",2008-02-15,"F",8,2002,6,"wolf"
"191","538M",2006-01-25,"M",12,2001,5,"wolf"
"192","539F",2006-01-25,"F",8,2005,1,"wolf"
"193","540F",2006-01-26,"F",192,2000,6,"wolf"
"194","541M",2006-01-26,"M",256,2000,6,"wolf"
"195","542F",2006-02-08,"F",6,2003,3,"wolf"
"196","543M",2006-02-08,"M",8,2005,1,"wolf"
"197","544M",2006-02-08,"M",8,2005,1,"wolf"
"198","545F",2006-02-08,"F",6,2005,1,"wolf"
"199","546M",2006-02-08,"M",192,2004,2,"wolf"
"200","569F",2006-12-31,"F",128,2004,2,"wolf"
"201","570M",2006-12-31,"M",8,2006,0,"wolf"
"202","571F",2006-12-31,"F",16,2006,0,"wolf"
"203","577M",2007-01-05,"M",8,2006,1,"wolf"
"204","578F",2007-01-05,"F",8,2006,1,"wolf"
"205","586M",2007-01-29,"M",768,2001,6,"wolf"
"206","586M",2011-01-03,"M",192,2001,10,"wolf"
"207","587M",2007-01-29,"M",384,2001,6,"wolf"
"208","588F",2007-01-29,"F",192,2006,1,"wolf"
"209","589F",2007-01-29,"F",8,2006,1,"wolf"
"210","590M",2007-01-30,"M",8,2006,1,"wolf"
"211","591F",2007-01-30,"F",8,2006,1,"wolf"
"212","592F",2007-01-30,"F",192,2004,3,"wolf"
