"","UID","sex","left","right","TestR"
"1","024F","F",1995-04-15,1996-08-06,"N"
"2","052M","M",1996-04-15,1998-01-06,"P"
"3","055M","M",1996-04-15,2000-01-18,"P"
"4","056M","M",1996-04-15,1998-01-05,"N"
"5","077F","F",1997-04-15,1998-01-06,"N"
"6","078F","F",1997-04-15,1998-01-06,"N"
"7","082M","M",1997-04-15,1998-01-06,"N"
"8","083M","M",1997-04-15,1998-01-06,"N"
"9","095F","F",1997-04-15,1998-01-05,"N"
"10","096F","F",1997-04-15,1998-01-05,"N"
"11","103F","F",1997-04-15,1997-10-17,"N"
"12","104M","M",1997-04-15,1998-01-06,"N"
"13","105F","F",1997-04-15,1999-01-17,"N"
"14","106F","F",1997-04-15,1998-01-06,"N"
"15","108M","M",1997-04-15,1997-09-03,"P"
"18","115F","F",1998-04-15,1999-02-01,"N"
"19","118M","M",1997-04-15,1998-03-12,"N"
"20","120M","M",1997-04-15,1998-03-12,"N"
"21","122M","M",1997-04-15,1999-01-12,"N"
"24","124M","M",1997-04-15,1999-02-08,"N"
"25","126F","F",1997-04-15,1999-02-08,"N"
"26","128M","M",1997-04-15,1998-01-09,"N"
"27","129F","F",1997-04-15,1998-01-09,"N"
"28","136F","F",1997-04-15,1998-03-12,"N"
"29","147M","M",1997-04-15,1999-02-01,"N"
"30","148F","F",1998-04-15,1999-01-13,"N"
"31","150M","M",1998-04-15,1999-02-01,"N"
"32","151F","F",1998-04-15,1999-01-13,"N"
"33","152F","F",1998-04-15,1999-01-13,"N"
"34","153F","F",1998-04-15,1999-01-17,"N"
"35","154F","F",1998-04-15,1999-01-30,"N"
"36","155F","F",1998-04-15,1999-01-30,"N"
"37","161M","M",1998-04-15,1999-01-30,"N"
"38","162M","M",1998-04-15,2000-01-18,"P"
"39","163M","M",1998-04-15,1999-01-17,"N"
"40","164M","M",1998-04-15,1999-01-13,"N"
"41","165M","M",1997-04-15,1999-01-13,"N"
"42","187F","F",1999-04-15,2000-01-13,"N"
"43","188F","F",1998-04-15,2000-01-19,"P"
"44","189M","M",1999-04-15,2000-01-19,"P"
"45","190F","F",1999-04-15,2000-01-19,"P"
"46","191M","M",1999-04-15,2000-01-20,"N"
"47","192M","M",1997-04-15,2000-02-04,"P"
"50","194M","M",1997-04-15,2000-02-04,"P"
"51","195M","M",1998-04-15,2000-05-25,"P"
"52","196M","M",1998-04-15,2000-05-25,"P"
"53","201F","F",1999-04-15,2001-01-15,"P"
"54","202M","M",2000-04-15,2001-01-15,"N"
"55","203M","M",2000-04-15,2001-01-15,"P"
"56","204M","M",1997-04-15,2001-01-16,"P"
"57","205M","M",2000-04-15,2001-01-16,"P"
"60","207M","M",1999-04-15,2001-01-16,"P"
"61","208M","M",1997-04-15,2001-01-16,"P"
"64","210M","M",2000-04-15,2001-01-17,"N"
"65","211M","M",2000-04-15,2001-01-17,"P"
"66","212F","F",1999-04-15,2001-01-17,"P"
"67","213F","F",2000-04-15,2001-01-19,"N"
"68","214M","M",2000-04-15,2001-01-19,"N"
"69","215M","M",2000-04-15,2001-01-19,"N"
"70","216F","F",2000-04-15,2001-01-19,"N"
"73","218F","F",2000-04-15,2001-01-19,"N"
"74","219M","M",2000-04-15,2001-01-19,"N"
"75","220F","F",2000-04-15,2001-01-20,"N"
"76","221M","M",1999-04-15,2001-01-20,"N"
"77","222M","M",2000-04-15,2001-01-20,"P"
"78","224M","M",2000-04-15,2001-01-20,"P"
"79","225M","M",2000-04-15,2001-01-21,"N"
"80","226M","M",2000-04-15,2001-01-21,"N"
"81","227M","M",2000-04-15,2001-01-21,"N"
"82","241M","M",2001-04-15,2001-10-13,"N"
"83","243M","M",1998-04-15,2001-12-10,"P"
"84","244M","M",1999-04-15,2001-12-10,"P"
"85","245M","M",2001-04-15,2001-12-10,"P"
"86","246M","M",2001-04-15,2001-12-10,"P"
"87","247M","M",2001-04-15,2001-12-10,"P"
"88","248M","M",2001-04-15,2002-02-02,"N"
"89","249M","M",2000-04-15,2002-02-03,"N"
"90","251F","F",2000-04-15,2002-02-02,"N"
"91","252M","M",2000-04-15,2002-02-02,"N"
"92","253M","M",2000-04-15,2002-02-02,"N"
"93","254M","M",2000-04-15,2002-02-02,"N"
"94","255F","F",2001-04-15,2002-02-02,"N"
