"","sex","birth.year","age","trap.date","cap.type","titer","UID"
"1","F",1982,2,1984-06-17,"RES",6,"102"
"2","M",1974,10,1984-06-07,"RES",384,"103"
"3","M",1973,26,1999-07-19,"RES",96,"112"
"4","F",1980,14,1994-05-18,"RES",4,"124"
"5","F",1983,10,1993-07-29,"RES",128,"125"
"6","F",1983,17,2000-08-27,"RES",128,"125"
"7","F",1983,23,2006-09-25,"RES",128,"125"
"8","F",1985,17,2002-09-18,"RES",256,"132"
"9","F",1983,11,1994-05-17,"RES",4,"136"
"585","M",1986,20,2006-08-12,"MGT",8,"141"
"11","M",1986,18,2004-10-11,"RES",48,"155"
"12","M",1986,25,2011-09-02,"RES",40,"155"
"13","F",1989,12,2001-05-26,"RES",128,"179"
"14","F",1989,23,2012-06-25,"RES",64,"179"
"15","M",1977,14,1991-07-13,"RES",128,"191"
"16","F",1986,5,1991-09-29,"RES",512,"193"
"17","F",1986,15,2001-10-02,"RES",256,"193"
"18","F",1986,17,2003-07-27,"RES",384,"193"
"19","F",1986,27,2013-06-20,"RES",256,"193"
"20","F",1986,28,2014-08-21,"RES",128,"193"
"21","F",1985,15,2000-07-17,"RES",512,"196"
"22","F",1985,18,2003-09-18,"RES",384,"196"
"23","M",1990,19,2009-06-10,"RES",8,"201"
"599","F",1994,16,2010-09-20,"MGT",4,"201031"
"601","M",2004,6,2010-10-11,"MGT",768,"201041"
"602","F",2003,8,2011-07-18,"MGT",512,"201108"
"24","M",2006,5,2011-08-01,"MGT",3,"201110"
"25","F",2003,8,2011-09-29,"MGT",4,"201130"
"26","M",2011,0,2011-09-29,"MGT",4,"201131"
"27","M",2011,0,2011-09-29,"MGT",4,"201132"
"28","M",2003,8,2011-10-21,"MGT",48,"201137"
"29","M",2001,10,2011-11-11,"MGT",256,"201142"
"30","M",2007,5,2012-09-17,"MGT",384,"201229"
"31","M",2010,2,2012-09-18,"MGT",4,"201232"
"32","M",2003,10,2013-03-23,"MGT",4,"201301"
"33","F",2008,5,2013-05-27,"RES",16,"201307"
"34","M",2008,5,2013-07-23,"MGT",4,"201314"
"35","M",1990,17,2007-10-13,"RES",192,"204"
"36","M",1990,18,2008-10-07,"RES",256,"204"
"37","M",1990,21,2011-10-15,"RES",384,"204"
"38","F",1984,22,2006-09-12,"RES",192,"205"
"39","M",1974,23,1997-10-15,"RES",32,"206"
"42","M",1990,21,2011-09-15,"RES",16,"211"
"43","M",1990,23,2013-09-19,"RES",6,"211"
"44","F",1992,6,1998-07-12,"RES",4,"213"
"45","F",1992,10,2002-06-01,"RES",4,"213"
"46","F",1992,5,1997-10-23,"RES",4,"214"
"47","F",1992,10,2002-10-17,"RES",4,"214"
"48","M",1990,7,1997-10-23,"RES",4,"219"
"49","M",1990,9,1999-06-30,"RES",256,"219"
"50","M",1990,13,2003-09-10,"RES",192,"219"
"51","M",1990,23,2013-06-10,"RES",64,"219"
"52","M",1990,23,2013-08-21,"RES",128,"219"
"53","M",1983,11,1994-05-12,"RES",8,"220"
"598","M",1992,17,2009-10-21,"RES",6,"227"
"56","M",1992,18,2010-10-15,"RES",8,"227"
"57","M",1992,20,2012-06-24,"RES",7,"227"
"60","M",1990,24,2014-08-28,"RES",96,"228"
"61","M",1989,17,2006-08-02,"RES",16,"239"
"62","M",1991,13,2004-06-02,"RES",4,"243"
"63","M",1993,2,1995-09-23,"MGT",4,"259"
"64","M",1991,7,1998-10-18,"RES",48,"260"
"65","M",1991,11,2002-09-20,"RES",48,"260"
"66","M",1988,7,1995-09-29,"MGT",384,"263"
"67","F",1988,20,2008-10-22,"MGT",128,"265"
"68","M",1988,16,2004-08-19,"RES",4,"273"
"69","F",1993,15,2008-08-28,"MGT",12,"279"
"70","F",1993,17,2010-08-03,"MGT",16,"279"
"71","M",1992,10,2002-09-23,"RES",4,"281"
"72","M",1992,19,2011-09-04,"RES",192,"281"
"74","M",1993,5,1998-08-23,"MGT",4,"286"
"75","M",1989,10,1999-10-10,"RES",48,"287"
"76","M",1989,16,2005-09-13,"RES",32,"287"
"77","F",1994,4,1998-07-24,"RES",4,"289"
"78","F",1994,13,2007-08-13,"RES",6,"289"
"79","M",1994,5,1999-07-30,"RES",8,"290"
"80","M",1991,9,2000-05-03,"RES",192,"292"
"81","M",1994,3,1997-08-08,"RES",4,"293"
"82","F",1993,6,1999-10-08,"RES",32,"295"
"83","F",1993,10,2003-09-18,"RES",48,"295"
"84","F",1993,14,2007-09-08,"RES",24,"295"
"85","M",1995,2,1997-10-28,"MGT",4,"301"
"86","M",1988,20,2008-08-23,"RES",4,"302"
"87","M",1995,17,2012-08-03,"MGT",4,"304"
"88","M",1989,9,1998-06-12,"RES",8,"309"
"89","M",1993,5,1998-07-14,"RES",48,"314"
"90","M",1990,9,1999-08-03,"RES",256,"317"
"91","M",1993,5,1998-08-28,"RES",24,"318"
"92","M",1993,10,2003-09-08,"RES",16,"318"
"93","F",1992,7,1999-06-24,"RES",512,"321"
"94","F",1992,12,2004-10-08,"RES",384,"321"
"95","F",1992,19,2011-09-22,"RES",768,"321"
"96","F",1996,2,1998-09-24,"MGT",16,"322"
"102","M",1996,14,2010-10-13,"RES",4,"323"
"103","F",1996,2,1998-11-10,"MGT",4,"325"
"104","F",1996,3,1999-07-13,"MGT",384,"325"
"105","F",1996,5,2001-07-03,"MGT",512,"325"
"106","M",1993,6,1999-05-06,"RES",4,"329"
"107","M",1993,6,1999-05-12,"RES",6,"330"
"108","F",1992,18,2010-09-23,"MGT",4,"332"
"109","M",1995,14,2009-08-20,"MGT",6,"333"
"110","F",1997,2,1999-06-10,"RES",4,"337"
"111","F",1997,7,2004-08-30,"RES",4,"337"
"112","F",1997,13,2010-06-26,"MGT",4,"337"
"113","M",1995,4,1999-06-18,"RES",4,"338"
"114","M",1995,11,2006-10-20,"RES",1024,"338"
"116","M",1995,14,2009-07-22,"RES",384,"338"
"117","M",1995,15,2010-09-15,"RES",512,"338"
"118","F",1991,8,1999-07-21,"RES",512,"342"
"119","M",1996,4,2000-05-10,"RES",8,"343"
"120","M",1996,16,2012-09-12,"MGT",8,"343"
"121","M",1993,11,2004-10-12,"RES",128,"345"
"122","F",1995,4,1999-08-28,"RES",6,"346"
"123","F",1994,5,1999-09-16,"RES",384,"349"
"124","F",1994,9,2003-09-04,"RES",192,"349"
"125","M",1998,4,2002-08-11,"RES",4,"355"
"126","F",1996,5,2001-07-09,"RES",1536,"360"
"127","F",1996,12,2008-07-17,"RES",768,"360"
"128","F",1996,15,2011-07-15,"RES",384,"360"
"129","M",1998,8,2006-10-06,"RES",4,"363"
"130","M",1998,9,2007-06-06,"RES",8,"363"
"131","M",1998,10,2008-09-25,"RES",8,"363"
"132","F",1981,23,2004-08-28,"RES",96,"365"
"133","M",1994,20,2014-05-07,"RES",6,"369"
"134","M",1998,3,2001-10-04,"RES",4,"373"
"135","M",1998,7,2005-07-28,"RES",768,"373"
"136","M",1998,9,2007-08-28,"RES",512,"373"
"137","M",1998,10,2008-08-12,"RES",768,"373"
"138","M",1998,14,2012-07-05,"RES",128,"373"
"139","M",1995,6,2001-05-04,"RES",4,"377"
"140","M",1995,16,2011-08-24,"MGT",4,"377"
"141","M",1999,3,2002-05-31,"RES",4,"379"
"142","M",1999,8,2007-09-25,"RES",192,"379"
"143","M",1999,14,2013-08-30,"RES",96,"379"
"144","F",1971,13,1984-06-10,"RES",4,"38"
"145","M",1993,8,2001-06-26,"RES",12,"387"
"146","M",1990,11,2001-06-28,"RES",128,"388"
"147","M",1995,6,2001-07-06,"RES",4,"389"
"148","M",1995,11,2006-06-18,"RES",512,"389"
"586","M",1995,11,2006-06-18,"RES",1024,"389"
"149","M",1995,6,2001-07-24,"RES",192,"393"
"150","M",1996,15,2011-09-04,"RES",64,"394"
"152","M",1995,6,2001-08-23,"RES",4,"397"
"153","M",1992,9,2001-08-25,"RES",8,"398"
"154","M",1992,13,2005-06-01,"RES",32,"398"
"155","F",1996,6,2002-09-23,"RES",4,"399"
"156","F",1996,7,2003-05-20,"RES",4,"399"
"157","F",1996,8,2004-07-15,"RES",4,"399"
"158","F",1996,8,2004-10-02,"RES",4,"399"
"159","F",1996,9,2005-09-09,"RES",4,"399"
"160","M",1975,9,1984-06-03,"RES",8,"40"
"161","M",1994,7,2001-08-29,"RES",6,"400"
"162","M",1994,14,2008-08-23,"RES",64,"400"
"163","M",1994,16,2010-09-05,"MGT",32,"400"
"164","M",1993,8,2001-09-01,"RES",4,"401"
"165","M",1993,9,2002-09-11,"RES",4,"401"
"166","M",1993,12,2005-09-12,"RES",4,"401"
"167","F",1997,4,2001-10-02,"RES",6,"402"
"168","F",1997,5,2002-09-09,"RES",4,"402"
"169","M",1998,15,2013-05-30,"RES",4,"407"
"170","M",1994,8,2002-06-19,"RES",4,"410"
"171","F",1993,9,2002-07-13,"RES",192,"412"
"172","M",1998,4,2002-07-17,"RES",4,"413"
"173","M",2000,2,2002-07-17,"RES",4,"414"
"174","F",1997,5,2002-08-07,"RES",4,"416"
"175","F",1997,14,2011-08-07,"RES",40,"416"
"176","M",2001,1,2002-09-05,"MGT",6,"419"
"177","M",2001,4,2005-06-15,"MGT",4,"419"
"178","F",1996,15,2011-09-01,"MGT",4,"423"
"179","M",1998,4,2002-09-25,"RES",4,"424"
"180","F",1985,17,2002-10-08,"RES",256,"425"
"181","M",1999,3,2002-10-28,"RES",4,"426"
"182","M",1997,6,2003-06-16,"RES",4,"427"
"183","M",1997,6,2003-06-27,"RES",4,"429"
"184","M",2002,6,2008-07-08,"MGT",4,"434"
"185","M",2002,7,2009-06-28,"MGT",32,"434"
"186","M",2000,3,2003-08-09,"RES",4,"441"
"187","M",2000,4,2004-10-09,"RES",8,"441"
"188","M",1993,15,2008-10-03,"RES",48,"443"
"189","M",1995,8,2003-08-12,"RES",4,"444"
"190","F",1988,15,2003-09-19,"RES",48,"447"
"191","F",2002,1,2003-09-19,"RES",4,"448"
"192","F",2002,2,2004-10-06,"RES",4,"448"
"193","F",2002,3,2005-09-25,"RES",128,"448"
"194","F",2002,6,2008-06-14,"RES",512,"448"
"195","F",2002,6,2008-07-26,"RES",192,"448"
"196","F",2002,7,2009-07-09,"RES",384,"448"
"197","F",2002,8,2010-09-16,"RES",192,"448"
"198","F",2002,9,2011-10-04,"RES",192,"448"
"199","M",1997,6,2003-09-21,"RES",4,"449"
"200","M",1979,5,1984-06-06,"RES",4,"45"
"201","M",1999,5,2004-05-24,"MGT",4,"453"
"202","M",1984,20,2004-06-02,"RES",8,"454"
"203","M",2002,2,2004-08-11,"RES",4,"460"
"204","M",2002,3,2005-09-13,"RES",4,"460"
"205","F",1991,13,2004-08-13,"RES",512,"461"
"206","F",1991,13,2004-09-23,"RES",512,"461"
"207","M",1995,9,2004-08-27,"RES",4,"463"
"208","M",1998,13,2011-10-19,"MGT",4,"465"
"209","M",1995,9,2004-09-07,"MGT",4,"466"
"210","M",2002,2,2004-09-11,"RES",4,"468"
"211","M",1993,11,2004-09-11,"RES",4,"469"
"212","M",1984,20,2004-09-12,"RES",32,"470"
"213","M",1999,4,2003-06-01,"RES",4,"471"
"214","F",1997,7,2004-09-25,"RES",4,"474"
"215","F",1997,8,2005-07-06,"RES",4,"474"
"216","F",1997,8,2005-09-28,"RES",4,"474"
"217","M",2001,4,2005-10-10,"RES",4,"475"
"218","M",1997,7,2004-09-29,"RES",4,"477"
"219","F",1992,18,2010-09-24,"MGT",4,"478"
"220","M",1990,14,2004-10-06,"RES",4,"479"
"221","M",1990,22,2012-06-07,"RES",64,"479"
"223","M",1996,8,2004-10-08,"RES",4,"480"
"224","M",1996,9,2005-09-25,"RES",4,"480"
"588","F",2002,7,2009-07-23,"RES",8,"481"
"227","M",1993,12,2005-05-05,"RES",64,"483"
"228","M",1997,8,2005-05-07,"RES",4,"484"
"229","F",1997,8,2005-05-23,"RES",4,"485"
"230","M",1999,9,2008-07-27,"MGT",4,"487"
"231","M",1998,7,2005-05-26,"RES",8,"488"
"232","M",1997,8,2005-06-23,"RES",384,"490"
"233","F",2004,1,2005-06-27,"MGT",6,"491"
"234","F",2004,3,2007-10-13,"RES",4,"492"
"235","F",2004,4,2008-07-18,"RES",8,"492"
"236","M",1997,8,2005-07-06,"RES",4,"493"
"237","M",1997,13,2010-08-26,"RES",128,"493"
"238","M",2002,3,2005-07-06,"RES",4,"494"
"239","F",2003,5,2008-07-22,"MGT",4,"495"
"240","F",2002,6,2008-08-04,"MGT",128,"497"
"241","M",2001,9,2010-08-05,"MGT",64,"498"
"242","F",1997,15,2012-07-29,"MGT",4,"499"
"243","F",1974,10,1984-09-17,"MGT",4,"50"
"244","F",1995,10,2005-08-13,"RES",6,"501"
"245","F",2002,3,2005-08-19,"MGT",4,"502"
"246","F",2002,5,2007-08-18,"MGT",4,"502"
"247","M",2001,7,2008-07-28,"MGT",192,"504"
"248","M",2000,14,2014-08-02,"RES",32,"506"
"249","F",2003,2,2005-08-25,"RES",4,"507"
"250","F",2003,4,2007-08-01,"RES",4,"507"
"251","M",1995,10,2005-09-13,"RES",128,"512"
"252","M",1995,15,2010-10-05,"MGT",32,"512"
"253","M",2000,10,2010-09-29,"MGT",4,"513"
"254","M",2000,5,2005-09-28,"RES",4,"514"
"255","M",1992,13,2005-09-28,"RES",64,"515"
"256","M",1992,17,2009-06-11,"RES",192,"515"
"257","M",1992,19,2011-10-30,"RES",96,"515"
"258","M",1995,10,2005-10-06,"RES",4,"516"
"259","F",1998,12,2010-09-28,"MGT",4,"517"
