"","UID","trap.date","sex","nr","titer","birth.year","age"
"1","024F",1996-08-06,"F","1",6,1995,1
"2","052M",1998-01-06,"M","1",512,1996,2
"3","055M",2000-01-18,"M","1",512,1996,4
"4","056M",1998-01-05,"M","1",6,1996,2
"5","077F",1998-01-06,"F","1",6,1997,1
"6","078F",1998-01-06,"F","1",6,1997,1
"7","082M",1998-01-06,"M","1",6,1997,1
"8","083M",1998-01-06,"M","1",6,1997,1
"9","095F",1998-01-05,"F","1",6,1997,1
"10","096F",1998-01-05,"F","1",6,1997,1
"11","103F",1997-10-17,"F","1",6,1997,0
"12","104M",1998-01-06,"M","1",6,1997,1
"13","105F",1999-01-17,"F","1",6,1997,2
"14","106F",1998-01-06,"F","1",6,1997,1
"15","108M",1997-09-03,"M","0",12,1997,0
"16","113M",1999-02-10,"M","0",6,1997,2
"17","113M",2006-01-19,"M","1",192,1997,9
"18","115F",1999-02-01,"F","0",6,1998,1
"19","118M",1998-03-12,"M","0",6,1997,1
"20","120M",1998-03-12,"M","0",6,1997,1
"21","122M",1999-01-12,"M","0",6,1997,2
"22","123M",1999-02-08,"M","0",6,1997,2
"23","123M",1998-01-08,"M","0",6,1997,1
"24","124M",1999-02-08,"M","0",6,1997,2
"25","126F",1999-02-08,"F","0",6,1997,2
"26","128M",1998-01-09,"M","0",6,1997,1
"27","129F",1998-01-09,"F","0",6,1997,1
"28","136F",1998-03-12,"F","0",6,1997,1
"29","147M",1999-02-01,"M","0",6,1997,2
"30","148F",1999-01-13,"F","1",6,1998,1
"31","150M",1999-02-01,"M","1",6,1998,1
"32","151F",1999-01-13,"F","1",6,1998,1
"33","152F",1999-01-13,"F","1",6,1998,1
"34","153F",1999-01-17,"F","1",6,1998,1
"35","154F",1999-01-30,"F","1",6,1998,1
"36","155F",1999-01-30,"F","1",6,1998,1
"37","161M",1999-01-30,"M","1",6,1998,1
"38","162M",2000-01-18,"M","1",128,1998,2
"39","163M",1999-01-17,"M","1",6,1998,1
"40","164M",1999-01-13,"M","1",6,1998,1
"41","165M",1999-01-13,"M","1",6,1997,2
"42","187F",2000-01-13,"F","0",6,1999,1
"43","188F",2000-01-19,"F","1",256,1998,2
"44","189M",2000-01-19,"M","1",192,1999,1
"45","190F",2000-01-19,"F","1",96,1999,1
"46","191M",2000-01-20,"M","0",6,1999,1
"47","192M",2000-02-04,"M","1",384,1997,3
"48","193M",2000-02-04,"M","0",768,1997,3
"49","193M",2006-02-07,"M","0",192,1997,9
"50","194M",2000-02-04,"M","0",768,1997,3
"51","195M",2000-05-25,"M","0",768,1998,2
"52","196M",2000-05-25,"M","0",512,1998,2
"53","201F",2001-01-15,"F","0",512,1999,2
"54","202M",2001-01-15,"M","0",6,2000,1
"55","203M",2001-01-15,"M","0",8,2000,1
"56","204M",2001-01-16,"M","1",384,1997,4
"57","205M",2001-01-16,"M","1",128,2000,1
"58","206M",2003-01-08,"M","1",96,1998,5
"59","206M",2001-01-16,"M","1",192,1998,3
"60","207M",2001-01-16,"M","1",192,1999,2
"61","208M",2001-01-16,"M","1",512,1997,4
"62","209F",2007-01-30,"F","1",256,2000,7
"63","209F",2001-01-17,"F","1",64,2000,1
"64","210M",2001-01-17,"M","1",6,2000,1
"65","211M",2001-01-17,"M","1",8,2000,1
"66","212F",2001-01-17,"F","1",12,1999,2
"67","213F",2001-01-19,"F","0",6,2000,1
"68","214M",2001-01-19,"M","0",6,2000,1
"69","215M",2001-01-19,"M","0",6,2000,1
"70","216F",2001-01-19,"F","1",6,2000,1
"71","217F",2001-01-19,"F","1",12,2000,1
"72","217F",2003-01-08,"F","1",6,2000,3
"73","218F",2001-01-19,"F","1",6,2000,1
"74","219M",2001-01-19,"M","1",6,2000,1
"75","220F",2001-01-20,"F","1",6,2000,1
"76","221M",2001-01-20,"M","1",6,1999,2
"77","222M",2001-01-20,"M","1",12,2000,1
"78","224M",2001-01-20,"M","1",12,2000,1
"79","225M",2001-01-21,"M","0",6,2000,1
"80","226M",2001-01-21,"M","0",6,2000,1
"81","227M",2001-01-21,"M","0",6,2000,1
"82","241M",2001-10-13,"M","1",6,2001,0
"83","243M",2001-12-10,"M","0",8,1998,3
"84","244M",2001-12-10,"M","0",16,1999,2
"85","245M",2001-12-10,"M","0",16,2001,0
"86","246M",2001-12-10,"M","0",12,2001,0
"87","247M",2001-12-10,"M","0",12,2001,0
"88","248M",2002-02-02,"M","0",6,2001,1
"89","249M",2002-02-03,"M","0",6,2000,2
"90","251F",2002-02-02,"F","1",6,2000,2
"91","252M",2002-02-02,"M","1",6,2000,2
"92","253M",2002-02-02,"M","1",6,2000,2
"93","254M",2002-02-02,"M","1",6,2000,2
"94","255F",2002-02-02,"F","1",6,2001,1
"95","256M",2002-02-03,"M","0",256,1999,3
"96","257M",2002-02-03,"M","0",12,1999,3
"97","258M",2002-02-03,"M","0",12,2000,2
"98","259F",2002-02-03,"F","1",384,2000,2
"99","260F",2002-02-05,"F","1",12,2001,1
"100","261M",2002-02-05,"M","0",12,2001,1
"101","262M",2002-02-05,"M","0",12,2001,1
"103","286F",2003-01-07,"F","1",12,2001,2
"104","287M",2003-01-07,"M","1",12,2001,2
"105","287M",2006-01-25,"M","1",256,2001,5
"106","288F",2003-01-07,"F","1",6,2001,2
"107","289M",2003-01-07,"M","1",12,2001,2
"108","290F",2003-01-07,"F","1",12,2002,1
"109","291M",2003-01-08,"M","0",16,2002,1
"110","292M",2003-01-08,"M","1",12,2001,2
"111","293F",2003-01-08,"F","1",12,2002,1
"112","294M",2003-01-09,"M","1",192,1999,4
"113","295M",2003-01-09,"M","1",12,2002,1
"114","296M",2003-01-09,"M","1",12,2000,3
"115","300M",2003-02-12,"M","1",8,1999,4
"116","301M",2003-02-12,"M","1",16,2001,2
"117","302M",2003-02-12,"M","1",12,2000,3
"118","303M",2003-02-12,"M","0",192,1997,6
"119","303M",2006-01-26,"M","0",192,1997,9
"120","303M",2006-01-26,"M","0",128,1997,9
"121","304M",2003-02-12,"M","0",192,1999,4
"122","305M",2003-02-13,"M","0",12,2002,1
"123","306F",2003-02-13,"F","0",12,2002,1
"124","343M",2003-11-13,"M","0",12,2003,0
"125","344F",2003-11-13,"F","1",12,2002,1
"126","348M",2003-11-22,"M","1",8,2003,0
"127","349M",2003-11-22,"M","1",8,2003,0
"128","350M",2003-11-22,"M","1",12,2003,0
"129","351M",2003-11-23,"M","1",12,2002,1
"130","352M",2003-11-23,"M","1",12,2001,2
"131","353F",2003-11-23,"F","1",6,2001,2
