"","Model","pD","DIC","niter","maxRhat"
"1","mod1",19.4089843907022,771.224035037459,2e+05,1.00420809050473
"2","mod10",24.5330498019497,660.936729717077,2e+05,1.01545475606631
"3","mod1b",15.8652831629748,770.466231334088,2e+05,1.00437756039929
"4","mod2",27.6691520621043,659.749332736558,2e+05,1.03700497334608
"5","mod2b",24.4659339610311,664.21856810385,2e+05,1.00606439416111
"6","mod3",26.9931169467451,659.311606475321,2e+05,1.02094310227577
"7","mod3b",23.8297833306215,661.519657196778,2e+05,1.00627601077329
"8","mod4",23.1479870363409,660.472821653793,2e+05,1.00548471074224
"9","mod5",23.8473306537081,657.930690390757,2e+05,1.13879562776661
"10","mod5b",19.8759054626264,651.985224890179,2e+05,1.014105305465
"11","mod5c",22.105582684892,653.690848195171,2e+05,1.05140183686652
"12","mod5d",22.5270949668936,655.35072628546,2e+05,1.06644820490559
"13","mod6b",23.4214032429173,661.066068777851,2e+05,1.00502756082367
"14","mod7",12.8245623664134,718.445556870251,2e+05,1.10867175383538
"15","mod8",13.5828756784417,719.3323617422,2e+05,1.05460096247496
"16","mod9",13.8698844841015,719.670634816991,2e+05,1.08083040162078
"17","viana_mod1",855.414159024326,1371.01059635809,2e+05,1.01204445491153
